# X_screen Y_screen
0.4597 1.1873
0.5143 1.1493
0.4897 1.1648
0.5270 1.1855
0.4558 1.1359
0.4821 1.1880
0.4573 1.1524
0.4974 1.1895
0.5446 1.1586
0.5060 1.1287
0.5372 1.1390
0.5121 1.2123
0.5485 1.1833
0.5078 1.1866
0.4658 1.1489
0.5233 1.1401
0.5017 1.1604
0.5180 1.1490
0.5244 1.1723
0.5388 1.1136
0.4696 1.1950
0.5237 1.1910
0.5247 1.1307
0.4541 1.1965
0.4607 1.1471
0.4878 1.1351
0.5167 1.1515
0.4755 1.1908
0.4606 1.1665
0.4884 1.2037
0.5096 1.1372
0.4627 1.1122
0.5198 1.1656
0.4795 1.1168
0.4886 1.1616
0.5336 1.1377
0.5273 1.2191
0.5353 1.1392
0.4788 1.1890
0.4589 1.2101
0.5469 1.1428
0.4673 1.1504
0.5281 1.1556
0.5461 1.1551
0.5190 1.1872
0.4719 1.2086
0.4996 1.1865
0.5472 1.2114
0.5458 1.1755
0.5299 1.1335
0.4827 1.1577
0.5048 1.1293
0.4722 1.1143
0.4552 1.1696
0.4858 1.1938
0.5079 1.2020
0.4857 1.1555
0.5362 1.1379
0.4621 1.1372
0.4797 1.1423
0.5349 1.1976
0.5316 1.1724
0.5402 1.1834
0.5276 1.1809
0.4866 1.1423
0.4549 1.1709
0.5461 1.2048
0.5302 1.1254
0.4893 1.1611
0.5040 1.1330
0.4962 1.1968
0.4702 1.1878
0.4841 1.1805
0.4824 1.1479
0.5452 1.1803
0.4718 1.2165
0.5392 1.1813
0.4554 1.2072
0.5253 1.1671
0.4986 1.2132
0.5323 1.1602
0.5335 1.2036
0.4616 1.1538
0.5108 1.1193
0.4634 1.1695
0.5176 1.1720
0.4803 1.2007
0.4893 1.2125
0.4753 1.1902
0.5089 1.1306
0.4943 1.1799
0.5120 1.1553
0.5240 1.1671
0.5069 1.1714
0.4701 1.1332
0.5095 1.1773
0.5314 1.1496
0.4833 1.1519
0.5152 1.1260
0.5073 1.2044
