# ================================================================================
# Inverse MPM Material Learning - Experiment Results
# Target: E*=450, nu=0.35, Neo-Hookean block-drop, MPM 8192 particles, 64 steps
# Tasks: dual-parameter external noisy, dual-parameter clean, single-E clean
# Methods: NN+FD and derivative-free baseline
# ================================================================================

## SECTION 1: Per-Epoch / Per-Search-Step Data
task,method,row_type,epoch_or_iter,loss,E_pred,nu_pred,E_abs_error,nu_abs_error,dL_dE_est,dL_dnu_est,h_mse,s_mse,F_mse,step_time_s,cumulative_time_s,E_true,nu_true,N_particles,N_steps,learn_param,obs_mode,noise_h,notes
DualParam_External_Noisy,NN+FD,epoch,0,8.066830e-07,426.381165,0.270711,23.618835,0.079289,-2.183384e-08,-7.739332e-06,,,,44.625313,44.625313,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,1,7.729018e-07,427.86322,0.271468,22.13678,0.078532,-1.939810e-08,-7.539410e-06,,,,0.812924,45.438237,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,2,7.400181e-07,429.553833,0.272317,20.446167,0.077683,-1.721187e-08,-7.664695e-06,,,,0.786934,46.225171,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,3,7.062533e-07,431.490448,0.273282,18.509552,0.076718,-1.483107e-08,-7.887524e-06,,,,0.774129,46.9993,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,4,6.721860e-07,433.688171,0.274382,16.311829,0.075618,-1.227738e-08,-8.319653e-06,,,,0.775058,47.774358,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,5,6.392088e-07,436.144806,0.275633,13.855194,0.074368,-9.296826e-09,-8.714919e-06,,,,0.776444,48.550802,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,6,6.094719e-07,438.829651,0.277045,11.170349,0.072955,-6.067182e-09,-9.056836e-06,,,,0.774511,49.325313,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,7,5.845744e-07,441.649139,0.278625,8.350861,0.071375,-2.637307e-09,-9.541546e-06,,,,0.771106,50.096418,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,8,5.662549e-07,444.404053,0.28036,5.595947,0.06964,6.140226e-10,-9.982828e-06,,,,0.766309,50.862727,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
DualParam_External_Noisy,NN+FD,epoch,9,5.547633e-07,446.739044,0.282218,3.260956,0.067782,3.819309e-09,-1.040441e-05,,,,0.768796,51.631523,450,0.35,8192,64,both,external,0.001,"final setting: noisy height target, external-observation loss"
