# ================================================================================
# Inverse Physics Learning from Camera Projections - Experiment Results
# Target: E*=400, nu=0.4, Neo-Hookean block-drop, MPM 8192 particles, 64 steps
# ================================================================================

## SECTION 1: Per-Epoch Training Data
task,method,epoch,loss,E_pred,E_abs_error,dL_dE_est,epoch_time_s,E_true,nu_true,N_particles,N_steps
Baseline_3D,FD,0,1.060232e-04,424.858978,24.858978,1.260421e-06,8.903,400.0,0.400,8192,64
Baseline_3D,FD,1,1.047628e-04,424.710663,24.710663,1.260421e-06,0.504,400.0,0.400,8192,64
Baseline_3D,FD,2,1.036436e-04,424.562347,24.562347,1.119181e-06,0.413,400.0,0.400,8192,64
Baseline_3D,FD,3,1.024764e-04,424.413513,24.413513,1.167136e-06,0.408,400.0,0.400,8192,64
Baseline_3D,FD,4,1.012361e-04,424.263580,24.263580,1.240325e-06,0.413,400.0,0.400,8192,64
Baseline_3D,FD,5,1.000640e-04,424.111908,24.111908,1.172069e-06,0.413,400.0,0.400,8192,64
Baseline_3D,FD,6,9.866631e-05,423.957733,23.957733,1.397733e-06,0.429,400.0,0.400,8192,64
Baseline_3D,FD,7,9.744678e-05,423.800537,23.800537,1.219531e-06,0.419,400.0,0.400,8192,64
Baseline_3D,FD,8,9.623521e-05,423.639771,23.639771,1.211571e-06,0.411,400.0,0.400,8192,64
Baseline_3D,FD,9,9.502508e-05,423.474976,23.474976,1.210130e-06,0.418,400.0,0.400,8192,64
Baseline_3D,FD,10,9.375694e-05,423.305695,23.305695,1.268134e-06,0.407,400.0,0.400,8192,64
Baseline_3D,FD,11,9.248324e-05,423.131592,23.131592,1.273700e-06,0.434,400.0,0.400,8192,64
Baseline_3D,FD,12,9.118499e-05,422.952362,22.952362,1.298256e-06,0.415,400.0,0.400,8192,64
Baseline_3D,FD,13,8.989253e-05,422.767700,22.767700,1.292457e-06,0.410,400.0,0.400,8192,64
Baseline_3D,FD,14,8.852361e-05,422.577332,22.577332,1.368920e-06,0.418,400.0,0.400,8192,64
Baseline_3D,FD,15,8.708286e-05,422.380920,22.380920,1.440749e-06,0.405,400.0,0.400,8192,64
Baseline_3D,FD,16,8.564160e-05,422.178345,22.178345,1.441258e-06,0.415,400.0,0.400,8192,64
Baseline_3D,FD,17,8.401050e-05,421.969269,21.969269,1.631102e-06,0.414,400.0,0.400,8192,64
Baseline_3D,FD,18,8.251714e-05,421.753479,21.753479,1.493361e-06,0.407,400.0,0.400,8192,64
Baseline_3D,FD,19,8.099096e-05,421.530762,21.530762,1.526176e-06,0.425,400.0,0.400,8192,64
Baseline_3D,FD,20,7.944715e-05,421.300964,21.300964,1.543813e-06,0.413,400.0,0.400,8192,64
Baseline_3D,FD,21,7.777703e-05,421.063904,21.063904,1.670123e-06,0.416,400.0,0.400,8192,64
Baseline_3D,FD,22,7.614641e-05,420.819519,20.819519,1.630615e-06,0.425,400.0,0.400,8192,64
Baseline_3D,FD,23,7.447004e-05,420.567657,20.567657,1.676366e-06,0.413,400.0,0.400,8192,64
Baseline_3D,FD,24,7.277942e-05,420.308075,20.308075,1.690627e-06,0.418,400.0,0.400,8192,64
Baseline_3D,FD,25,7.103971e-05,420.040558,20.040558,1.739711e-06,0.412,400.0,0.400,8192,64
Baseline_3D,FD,26,6.929204e-05,419.765015,19.765015,1.747670e-06,0.417,400.0,0.400,8192,64
Baseline_3D,FD,27,6.749594e-05,419.481232,19.481232,1.796099e-06,0.418,400.0,0.400,8192,64
Baseline_3D,FD,28,6.566519e-05,419.189087,19.189087,1.830747e-06,0.419,400.0,0.400,8192,64
Baseline_3D,FD,29,6.379063e-05,418.888458,18.888458,1.874556e-06,0.422,400.0,0.400,8192,64
Baseline_3D,FD,30,6.189086e-05,418.579224,18.579224,1.899774e-06,0.426,400.0,0.400,8192,64
Baseline_3D,FD,31,5.999618e-05,418.261414,18.261414,1.894681e-06,0.424,400.0,0.400,8192,64
Baseline_3D,FD,32,5.806468e-05,417.934967,17.934967,1.931498e-06,0.418,400.0,0.400,8192,64
Baseline_3D,FD,33,5.611037e-05,417.599854,17.599854,1.954311e-06,0.420,400.0,0.400,8192,64
Baseline_3D,FD,34,5.416581e-05,417.255798,17.255798,1.944562e-06,0.417,400.0,0.400,8192,64
Baseline_3D,FD,35,5.219096e-05,416.902740,16.902740,1.974848e-06,0.415,400.0,0.400,8192,64
Baseline_3D,FD,36,5.015789e-05,416.540649,16.540649,2.033066e-06,0.419,400.0,0.400,8192,64
Baseline_3D,FD,37,4.799151e-05,416.169373,16.169373,2.166384e-06,0.412,400.0,0.400,8192,64
Baseline_3D,FD,38,4.594097e-05,415.788879,15.788879,2.050536e-06,0.417,400.0,0.400,8192,64
Baseline_3D,FD,39,4.378273e-05,415.399506,15.399506,2.158249e-06,0.416,400.0,0.400,8192,64
Baseline_3D,FD,40,4.174587e-05,415.001587,15.001587,2.036861e-06,0.414,400.0,0.400,8192,64
Baseline_3D,FD,41,3.967937e-05,414.595215,14.595215,2.066492e-06,0.415,400.0,0.400,8192,64
Baseline_3D,FD,42,3.770066e-05,414.180939,14.180939,1.978711e-06,0.414,400.0,0.400,8192,64
Baseline_3D,FD,43,3.559727e-05,413.759064,13.759064,2.103388e-06,0.417,400.0,0.400,8192,64
Baseline_3D,FD,44,3.359950e-05,413.329559,13.329559,1.997778e-06,0.438,400.0,0.400,8192,64
Baseline_3D,FD,45,3.160572e-05,412.892792,12.892792,1.993780e-06,0.436,400.0,0.400,8192,64
Baseline_3D,FD,46,2.962198e-05,412.448944,12.448944,1.983737e-06,0.418,400.0,0.400,8192,64
Baseline_3D,FD,47,2.763987e-05,411.998444,11.998444,1.982109e-06,0.418,400.0,0.400,8192,64
Baseline_3D,FD,48,2.572026e-05,411.541931,11.541931,1.919607e-06,0.422,400.0,0.400,8192,64
Baseline_3D,FD,49,2.385391e-05,411.079773,11.079773,1.866352e-06,0.421,400.0,0.400,8192,64
Baseline_3D,FD,50,2.206097e-05,410.612335,10.612335,1.792945e-06,0.415,400.0,0.400,8192,64
Baseline_3D,FD,51,2.024450e-05,410.140259,10.140259,1.816463e-06,0.416,400.0,0.400,8192,64
Baseline_3D,FD,52,1.851324e-05,409.663757,9.663757,1.731263e-06,0.418,400.0,0.400,8192,64
Baseline_3D,FD,53,1.680944e-05,409.183716,9.183716,1.703802e-06,0.417,400.0,0.400,8192,64
Baseline_3D,FD,54,1.518060e-05,408.701050,8.701050,1.628839e-06,0.416,400.0,0.400,8192,64
Baseline_3D,FD,55,1.365276e-05,408.216583,8.216583,1.527840e-06,0.416,400.0,0.400,8192,64
Baseline_3D,FD,56,1.219548e-05,407.731506,7.731506,1.457281e-06,0.416,400.0,0.400,8192,64
Baseline_3D,FD,57,1.079601e-05,407.246674,7.246674,1.399466e-06,0.428,400.0,0.400,8192,64
Baseline_3D,FD,58,9.509346e-06,406.763275,6.763275,1.286667e-06,0.415,400.0,0.400,8192,64
Baseline_3D,FD,59,8.281892e-06,406.282440,6.282440,1.227453e-06,0.424,400.0,0.400,8192,64
Baseline_3D,FD,60,7.176437e-06,405.805359,5.805359,1.105456e-06,0.417,400.0,0.400,8192,64
Baseline_3D,FD,61,6.124238e-06,405.333313,5.333313,1.052199e-06,0.418,400.0,0.400,8192,64
Baseline_3D,FD,62,5.189254e-06,404.867432,4.867432,9.349837e-07,0.422,400.0,0.400,8192,64
Baseline_3D,FD,63,4.332485e-06,404.409149,4.409149,8.567690e-07,0.412,400.0,0.400,8192,64
Baseline_3D,FD,64,3.545563e-06,403.959656,3.959656,7.869223e-07,0.428,400.0,0.400,8192,64
Baseline_3D,FD,65,2.868330e-06,403.520447,3.520447,6.772334e-07,0.420,400.0,0.400,8192,64
Baseline_3D,FD,66,2.270351e-06,403.093109,3.093109,5.979787e-07,0.405,400.0,0.400,8192,64
Baseline_3D,FD,67,1.762571e-06,402.679108,2.679108,5.077802e-07,0.421,400.0,0.400,8192,64
Baseline_3D,FD,68,1.325503e-06,402.279724,2.279724,4.370680e-07,0.408,400.0,0.400,8192,64
Baseline_3D,FD,69,9.679926e-07,401.896271,1.896271,3.575101e-07,0.412,400.0,0.400,8192,64
Baseline_3D,FD,70,6.695255e-07,401.530212,1.530212,2.984671e-07,0.405,400.0,0.400,8192,64
Baseline_3D,FD,71,4.387886e-07,401.182770,1.182770,2.307369e-07,0.404,400.0,0.400,8192,64
Baseline_3D,FD,72,2.600001e-07,400.855164,0.855164,1.787885e-07,0.422,400.0,0.400,8192,64
Baseline_3D,FD,73,1.410402e-07,400.548431,0.548431,1.189599e-07,0.416,400.0,0.400,8192,64
Baseline_3D,FD,74,6.316349e-08,400.263489,0.263489,7.787668e-08,0.431,400.0,0.400,8192,64
Baseline_3D,FD,75,2.103691e-08,400.001526,0.001526,4.212658e-08,0.418,400.0,0.400,8192,64
Baseline_3D,FD,76,2.028423e-11,399.763092,0.236908,2.101663e-08,0.413,400.0,0.400,8192,64
Baseline_3D,FD,77,1.332912e-08,399.548584,0.451416,1.330884e-08,0.425,400.0,0.400,8192,64
Baseline_3D,FD,78,4.083244e-08,399.358215,0.641785,2.750332e-08,0.411,400.0,0.400,8192,64
Baseline_3D,FD,79,9.922991e-08,399.191925,0.808075,5.839746e-08,0.419,400.0,0.400,8192,64
Baseline_3D,FD,80,1.430804e-07,399.050262,0.949738,4.385051e-08,0.412,400.0,0.400,8192,64
Baseline_3D,FD,81,1.965250e-07,398.932861,1.067139,5.344462e-08,0.405,400.0,0.400,8192,64
Baseline_3D,FD,82,2.425332e-07,398.838959,1.161041,4.600813e-08,0.415,400.0,0.400,8192,64
Baseline_3D,FD,83,2.830928e-07,398.767609,1.232391,4.055966e-08,0.411,400.0,0.400,8192,64
Baseline_3D,FD,84,3.165165e-07,398.717621,1.282379,3.342365e-08,0.418,400.0,0.400,8192,64
Baseline_3D,FD,85,3.409246e-07,398.687408,1.312592,2.440814e-08,0.411,400.0,0.400,8192,64
Baseline_3D,FD,86,3.558232e-07,398.675629,1.324371,1.489863e-08,0.416,400.0,0.400,8192,64
Baseline_3D,FD,87,3.619832e-07,398.680878,1.319122,6.160008e-09,0.419,400.0,0.400,8192,64
Baseline_3D,FD,88,3.591626e-07,398.701538,1.298462,2.820684e-09,0.417,400.0,0.400,8192,64
Baseline_3D,FD,89,3.486806e-07,398.735962,1.264038,1.048198e-08,0.414,400.0,0.400,8192,64
Baseline_3D,FD,90,3.317190e-07,398.782288,1.217712,1.696156e-08,0.407,400.0,0.400,8192,64
Baseline_3D,FD,91,3.095556e-07,398.839081,1.160919,2.216336e-08,0.415,400.0,0.400,8192,64
Baseline_3D,FD,92,2.830894e-07,398.904755,1.095245,2.646624e-08,0.413,400.0,0.400,8192,64
Baseline_3D,FD,93,2.545714e-07,398.977692,1.022308,2.851797e-08,0.408,400.0,0.400,8192,64
Baseline_3D,FD,94,2.243825e-07,399.056335,0.943665,3.018896e-08,0.415,400.0,0.400,8192,64
Baseline_3D,FD,95,1.944725e-07,399.139282,0.860718,2.990997e-08,0.423,400.0,0.400,8192,64
Baseline_3D,FD,96,1.602134e-07,399.225098,0.774902,3.425914e-08,0.422,400.0,0.400,8192,64
Baseline_3D,FD,97,1.330995e-07,399.312286,0.687714,2.711387e-08,0.411,400.0,0.400,8192,64
Baseline_3D,FD,98,1.112463e-07,399.400055,0.599945,2.185318e-08,0.418,400.0,0.400,8192,64
Baseline_3D,FD,99,8.911510e-08,399.486328,0.513672,2.213121e-08,0.407,400.0,0.400,8192,64
Baseline_3D,FD,100,5.192935e-08,399.570282,0.429718,3.718575e-08,0.414,400.0,0.400,8192,64
Baseline_3D,FD,101,3.730453e-08,399.651215,0.348785,1.462481e-08,0.415,400.0,0.400,8192,64
Baseline_3D,FD,102,2.560466e-08,399.728516,0.271484,1.169988e-08,0.414,400.0,0.400,8192,64
Baseline_3D,FD,103,1.652093e-08,399.801697,0.198303,9.083729e-09,0.419,400.0,0.400,8192,64
Baseline_3D,FD,104,7.504527e-09,399.870331,0.129669,9.016402e-09,0.412,400.0,0.400,8192,64
Baseline_3D,FD,105,3.248041e-09,399.934143,0.065857,4.256486e-09,0.416,400.0,0.400,8192,64
Baseline_3D,FD,106,8.838718e-10,399.992859,0.007141,2.364169e-09,0.418,400.0,0.400,8192,64
Baseline_3D,FD,107,3.587633e-11,400.046356,0.046356,8.479955e-10,0.416,400.0,0.400,8192,64
Baseline_3D,FD,108,4.030611e-10,400.094513,0.094513,3.671848e-10,0.407,400.0,0.400,8192,64
Baseline_3D,FD,109,1.658634e-09,400.137329,0.137329,1.255573e-09,0.413,400.0,0.400,8192,64
Baseline_3D,FD,110,6.666510e-09,400.174744,0.174744,5.007875e-09,0.428,400.0,0.400,8192,64
Baseline_3D,FD,111,8.790260e-09,400.206940,0.206940,2.123750e-09,0.411,400.0,0.400,8192,64
Baseline_3D,FD,112,1.107565e-08,400.234039,0.234039,2.285392e-09,0.417,400.0,0.400,8192,64
Baseline_3D,FD,113,1.836031e-08,400.256226,0.256226,7.284655e-09,0.409,400.0,0.400,8192,64
Baseline_3D,FD,114,2.037436e-08,400.273773,0.273773,2.014051e-09,0.414,400.0,0.400,8192,64
Baseline_3D,FD,115,2.189789e-08,400.286926,0.286926,1.523532e-09,0.423,400.0,0.400,8192,64
Baseline_3D,FD,116,2.335940e-08,400.295929,0.295929,1.461514e-09,0.421,400.0,0.400,8192,64
Baseline_3D,FD,117,2.429101e-08,400.301086,0.301086,9.316050e-10,0.424,400.0,0.400,8192,64
Baseline_3D,FD,118,2.486349e-08,400.302673,0.302673,5.724790e-10,0.420,400.0,0.400,8192,64
Baseline_3D,FD,119,2.504633e-08,400.301025,0.301025,1.828422e-10,0.416,400.0,0.400,8192,64
Baseline_3D,FD,120,2.486918e-08,400.296448,0.296448,1.771472e-10,0.421,400.0,0.400,8192,64
Baseline_3D,FD,121,2.429135e-08,400.289246,0.289246,5.778364e-10,0.418,400.0,0.400,8192,64
Baseline_3D,FD,122,2.360487e-08,400.279755,0.279755,6.864731e-10,0.420,400.0,0.400,8192,64
Baseline_3D,FD,123,2.256515e-08,400.268311,0.268311,1.039727e-09,0.420,400.0,0.400,8192,64
Baseline_3D,FD,124,2.148156e-08,400.255188,0.255188,1.083587e-09,0.421,400.0,0.400,8192,64
